date;total_heat_load;total_mass_flow;total_temp_feed_flow;total_temp_back_flow
2018-01-01 00:00:00;46.17736170402613;290.4767770821754;77.60444389668913;39.62991865541733
2018-01-01 01:00:00;46.58887609298184;293.2954328958052;77.46955574494399;39.52482777006509
2018-01-01 02:00:00;47.17629647586196;295.98324408248493;77.62264419302545;39.54843643605358
2018-01-01 03:00:00;47.525858623258394;298.3953673770762;77.45928904165214;39.41298992568488
2018-01-01 04:00:00;49.64964129915718;310.4483491576066;77.78536950444942;39.5820559431146
2018-01-01 05:00:00;55.35360954454602;327.66427506867234;80.06480057080262;39.70990162433958
2018-01-01 06:00:00;58.53536348697656;329.13623748334425;82.18720061074777;39.70274323705132
2018-01-01 07:00:00;58.772662061155096;335.19281641435055;81.838281101559;39.95239220564491
2018-01-01 08:00:00;58.9419500807655;334.7593802633948;82.14142855241545;40.0804354976209
2018-01-01 09:00:00;60.31712356868639;344.2702970897063;82.03284672575285;40.17952598672815
2018-01-01 10:00:00;62.09510310291115;353.50805235927714;82.13449491634594;40.17347642977376
2018-01-01 11:00:00;59.10868520405321;335.77535493540495;82.25402983918013;40.20157586838053
2018-01-01 12:00:00;55.91246213971476;321.6622553874927;81.94469882148655;40.42109176125757
2018-01-01 13:00:00;56.66933371216623;327.53284768768884;81.74436775608854;40.413113472583404
2018-01-01 14:00:00;59.02009655946249;336.9275519591428;82.16930739346327;40.32353344114051
2018-01-01 15:00:00;59.45669031584205;338.01847139066047;82.21195073050473;40.192606201984574
2018-01-01 16:00:00;59.64990286646413;340.7822365901522;82.1568342916151;40.342773466128506
2018-01-01 17:00:00;59.00926367477635;337.6739295284911;82.0498762358684;40.30424448231969
2018-01-01 18:00:00;58.49185216847808;335.17099610281514;82.12616477874849;40.43740708173999
2018-01-01 19:00:00;57.293902102405454;328.77319804842733;82.07488779276952;40.44548600168201
2018-01-01 20:00:00;54.25658642994497;316.48120887439507;81.42869449438786;40.47525223774721
2018-01-01 21:00:00;50.237408405642604;309.10054777623344;79.41633474863312;40.591650205008705
2018-01-01 22:00:00;48.2391788412803;301.0289090939252;78.8569306165536;40.57701876713685
2018-01-01 23:00:00;48.03624095177039;301.04147119738303;78.4821890504769;40.36502791378388
2018-01-02 00:00:00;48.1341740339257;300.268783937343;78.47628530778974;40.1831393354783
2018-01-02 01:00:00;49.793981630720374;304.46933365108043;79.02023428990844;39.953051671968296
2018-01-02 02:00:00;51.78632586902794;310.768849713019;79.7169272244904;39.91012894036089
2018-01-02 03:00:00;55.06212459033603;316.217718149369;81.53181719596017;39.935907221722516
2018-01-02 04:00:00;57.705938743576695;322.97361265418556;82.66798178163856;39.98629668959245
2018-01-02 05:00:00;59.08662212974784;332.56253365540005;82.37303722918523;39.930209881026315
2018-01-02 06:00:00;62.978798917302264;352.0916712083508;82.82104093987925;40.091516294947155
2018-01-02 07:00:00;64.0099802236004;359.85916368119064;82.80765672149482;40.315874462217835
2018-01-02 08:00:00;64.32635910438523;364.42180937958574;82.59043816662091;40.4232617578694
2018-01-02 09:00:00;65.33877207938343;373.0113306203845;82.3988068712112;40.55429754285882
2018-01-02 10:00:00;62.83122624203773;357.95396757359623;82.53525862234443;40.60405000947253
2018-01-02 11:00:00;58.37390012265387;331.9132792727733;82.86980428393474;40.856737610453365
2018-01-02 12:00:00;55.926074915532304;319.593699401495;82.71890065132135;40.91615696400913
2018-01-02 13:00:00;54.03570123806869;313.08455444840234;82.20197889031562;40.97281354369045
2018-01-02 14:00:00;54.5383512426859;315.6441209582144;82.20723781835767;40.93171480880454
2018-01-02 15:00:00;54.36816277320461;314.4942196789492;82.03473009868532;40.737715358003186
2018-01-02 16:00:00;57.971052793710314;330.23219918652626;82.5655960957219;40.63017973617116
2018-01-02 17:00:00;59.15475131776538;334.4756185839519;82.71433173343581;40.46540895174121
2018-01-02 18:00:00;58.54435989312402;330.6953944203533;82.72122350174351;40.43036959206938
2018-01-02 19:00:00;56.82221582593002;321.2023320451829;82.84957009747927;40.58960074686411
2018-01-02 20:00:00;53.679392746270764;310.0793417807048;81.93315507998898;40.578815789979615
2018-01-02 21:00:00;51.415555560962346;306.24226716557547;80.6501491616907;40.54386421378689
2018-01-02 22:00:00;49.047705269767164;300.417356308259;79.38097703857238;40.38020892617499
2018-01-02 23:00:00;47.981118836045916;299.04905626297875;78.64721297205227;40.32013174521251
2018-01-03 00:00:00;48.04969559013443;299.1659588175775;78.607429791487;40.2405577691614
2018-01-03 01:00:00;50.10694553006203;308.86377938242185;78.78085329071905;40.02749676400964
2018-01-03 02:00:00;52.12976788134187;317.42587217543985;79.29183556349335;40.06143789547741
2018-01-03 03:00:00;55.37081038571228;322.95806272827724;80.94247461023417;39.98644182215895
2018-01-03 04:00:00;60.2037663910103;335.52366249544605;82.81974472887595;39.95610865219521
2018-01-03 05:00:00;62.21488535846592;347.572536299615;82.85654964164064;40.0965029839071
2018-01-03 06:00:00;66.24362319874061;372.5950588649252;82.78854468858646;40.31744522467403
2018-01-03 07:00:00;68.34713468994784;378.80759668528395;83.55036764089306;40.45067621069154
2018-01-03 08:00:00;66.28930002600535;367.49698828101316;83.76509372576811;40.67671741115498
2018-01-03 09:00:00;62.65234043870128;353.26777355173186;83.39995109081434;41.03481486420998
2018-01-03 10:00:00;59.54482211065882;338.6663738941489;82.97216445009457;40.97119969621389
2018-01-03 11:00:00;58.50157112474022;332.4134353501074;83.03772959337829;40.9965615330147
2018-01-03 12:00:00;57.26301736673211;323.26447438873475;83.10913379773353;40.793268795631946
